id;name;description;milestone_status;due_date
1;Home;../fake-data/blob/hipster.txt;NEW;2020-05-01T02:33:52
2;Western Sahara Producer;../fake-data/blob/hipster.txt;OPEN;2020-04-30T07:49:07
3;Generic;../fake-data/blob/hipster.txt;CLOSED;2020-04-30T23:06:33
4;Specialist Central port;../fake-data/blob/hipster.txt;NEW;2020-04-30T21:06:36
5;Russian Ruble holistic;../fake-data/blob/hipster.txt;NEW;2020-04-30T21:55:26
6;Consultant;../fake-data/blob/hipster.txt;NEW;2020-05-01T02:13:28
7;Sports Plaza;../fake-data/blob/hipster.txt;NEW;2020-04-30T07:06:49
8;program neural iterate;../fake-data/blob/hipster.txt;OPEN;2020-04-30T07:04:19
9;maximize;../fake-data/blob/hipster.txt;OPEN;2020-05-01T05:16:47
10;full-range connecting Synchronised;../fake-data/blob/hipster.txt;CLOSED;2020-04-30T13:23:18
